WidgerLUCRETIABy | Sorry pals no definitions here.
that | noun---Something being indicated that is there; one of those.------------------------------------------adverb---(degree) To a given extent or degree.(degree) To a great extent or degree; very, particularly (in negative constructions).To such an extent; so. (in positive constructions).------------------------------------------pronoun---(demonstrative) The thing, person, idea, quality, event, action or time indicated or understood from context, especially if more remote geographically, temporally or mentally than one designated as "this", or if expressing distinction.The known (thing); used to refer to something just said.(demonstrative) The aforementioned quality or proposition; used to emphatically affirm or deny a previous statement or question.(relative) (plural that) Which, who; representing a subject, direct object, indirect object, or object of a preposition.Used in place of relative adverbs such as where or when; often omitted.------------------------------------------conjunction---Introducing a clause which is the subject or object of a verb (such as one involving reported speech), or which is a complement to a previous statement.Introducing a subordinate clause expressing a reason or cause: because, in that.Introducing a subordinate clause that expresses an aim, purpose or goal ("final"), and usually contains the auxiliaries may, might or should: so, so that.Introducing — especially, but not exclusively, with an antecedent like so or such — a subordinate clause expressing a result, consequence or effect.Introducing a premise or supposition for consideration: seeing as; inasmuch as; given that; as would appear from the fact that.Introducing a subordinate clause modifying an adverb.Introducing an exclamation expressing a desire or wish.Introducing an exclamation expressing a strong emotion such as sadness or surprise.------------------------------------------
acknowledged | verb---To admit the knowledge of; to recognize as a fact or truth; to declare one's belief inTo own or recognize in a particular quality, character or relationship; to admit the claims or authority of; to give recognition to.To be grateful of (e.g. a benefit or a favour)To report (the receipt of a message to its sender).To own as genuine or valid; to assent to (a legal instrument) to give it validity; to avow or admit in legal form.------------------------------------------adjective---Generally accepted, recognized or admitted.------------------------------------------
the | adverb---With a comparative or with more and a verb phrase, establishes a correlation with one or more other such comparatives.With a comparative, and often with for it, indicates a result more like said comparative. This can be negated with none. See none the.------------------------------------------
last | adjective---Final, ultimate, coming after all others of its kind.Most recent, latest, last so far.Farthest of all from a given quality, character, or condition; most unlikely, or least preferable.Being the only one remaining of its class.Supreme; highest in degree; utmost.Lowest in rank or degree.------------------------------------------adverb---Most recently.(sequence) after everything else; finally------------------------------------------
was | Sorry pals no definitions here.
assailed | verb---To attack with harsh words or violent force (also figuratively).------------------------------------------
misunderstoodand | Sorry pals no definitions here.
first | noun---The person or thing in the first position.The first gear of an engine.Something that has never happened before; a new occurrence.First baseA first-class honours degree.A first-edition copy of some publication.A fraction of an integer ending in one.------------------------------------------adjective---Preceding all others of a series or kind; the ordinal of one; earliest.Most eminent or exalted; most excellent; chief; highest.------------------------------------------adverb---Before anything else; firstly.For the first time;------------------------------------------
moral | noun---(of a narrative) The ethical significance or practical lesson.(chiefly in the plural) Moral practices or teachings: modes of conduct.A morality play.A moral certainty.An exact counterpart.------------------------------------------verb---To moralize.------------------------------------------adjective---Of or relating to principles of right and wrong in behaviour, especially for teaching right behaviour.Conforming to a standard of right behaviour; sanctioned by or operative on one's conscience or ethical judgment.Capable of right and wrong action.Probable but not proved.Positively affecting the mind, confidence, or will.------------------------------------------
sought | verb---To try to find; to look for; to search for.To ask for; to solicit; to beseech.To try to acquire or gain; to strive after; to aim at.To go, move, travel (in a given direction).To try to reach or come to; to go to; to resort to.To attempt, endeavour, tryTo navigate through a stream.------------------------------------------
through | noun---A large slab of stone laid in a dry-stone wall from one side to the other; a perpend.------------------------------------------adjective---Passing from one side of something to the other.Finished; complete.Without a future; done for.No longer interested; wearied or turned off by experience.Proceeding from origin to destination without delay due to change of equipment.In possession of the ball beyond the last line of defence but not necessarily the goalkeeper; through on goal.------------------------------------------adverb---From one side to the other by way of the interior.From one end to the other.To the end.Completely.Out into the open.------------------------------------------preposition---From one side of an opening to the other.Entering, then later leaving.Surrounded by (while moving).By means of.In consequence of; as a result of.To (or up to) and including, with all intermediate values.------------------------------------------
human | noun---A human being, whether man, woman or child.------------------------------------------verb---To behave as or become, or to cause to behave as or become, a human.------------------------------------------adjective---(notcomp) Of or belonging to the species Homo sapiens or its closest relatives.Having the nature or attributes of a human being.------------------------------------------
nature | noun---The natural world; that which consists of all things unaffected by or predating human technology, production, and design. (Compare ecosystem.)The innate characteristics of a thing. What something will tend by its own constitution, to be or do. Distinct from what might be expected or intended.The summary of everything that has to do with biological, chemical and physical states and events in the physical universe.Conformity to that which is natural, as distinguished from that which is artificial, or forced, or remote from actual experience.Kind, sort; character; quality.Physical constitution or existence; the vital powers; the natural life.Natural affection or reverence.------------------------------------------verb---To endow with natural qualities.------------------------------------------
side | noun---A bounding straight edge of a two-dimensional shape.A flat surface of a three-dimensional object; a face.One half (left or right, top or bottom, front or back, etc.) of something or someone.A region in a specified position with respect to something.The portion of the human torso usually covered by the arms when they are not raised; the areas on the left and right between the belly or chest and the back.One surface of a sheet of paper (used instead of "page", which can mean one or both surfaces.)One possible aspect of a concept, person or thing.One set of competitors in a game.A sports team.A group having a particular allegiance in a conflict or competition.A recorded piece of music; a record, especially in jazz.Sidespin; englishA television channel, usually as opposed to the one currently being watched (from when there were only two channels).A dish that accompanies the main course; a side dish.A line of descent traced through one parent as distinguished from that traced through another.The batters faced in an inning by a particular pitcherAn unjustified air of self-importance.A written monologue or part of a scene to be read by an actor at an audition.A man who prefers not to engage in anal sex during homosexual intercourse.------------------------------------------verb---To ally oneself, be in an alliance, usually with "with" or rarely "in with"To lean on one side.To be or stand at the side of; to be on the side toward.To suit; to pair; to match.To work (a timber or rib) to a certain thickness by trimming the sides.To furnish with a siding.To provide with, as a side or accompaniment.------------------------------------------adjective---Being on the left or right, or toward the left or right; lateral.Indirect; oblique; incidental.------------------------------------------
